family_or_target	major_category	pollutant_or_role	evidence_class	default_confidence	uniprot_query	interpretation_rule	specificity_class	headline_category_allowed
azoR	Dyes	Azo dyes	Direct	High	gene_exact:azoR	Azoreductase family; azo-bond reduction.	direct_family	YES
azoreductase	Dyes	Azo dyes	Direct	High	"protein_name:""azoreductase"""	Direct azo-bond reduction family.	direct_family	YES
DyP-type peroxidase	Dyes	Azo / anthraquinone / aromatic dyes	Direct	High	"protein_name:""DyP-type peroxidase"""	Dye-decolorizing peroxidase family; substrate specificity varies.	direct_family	YES
laccase	Dyes	Oxidative dye transformation	Candidate	Moderate	"protein_name:""laccase"""	Broad multicopper oxidase family; do not infer dye degradation from family membership alone.	candidate_family	YES
flavin reductase	Dyes	Reductive dye transformation	Supporting	Moderate	"protein_name:""flavin reductase"""	Can supply reduced flavin to dye/xenobiotic redox reactions.	supporting_family	NO
quinone reductase	Dyes	Redox transformation	Supporting	Moderate	"protein_name:""quinone reductase"""	Broad redox family; requires context.	supporting_family	NO
chrA	Heavy metals	Chromate resistance	Direct	High	gene_exact:chrA	Chromate efflux/resistance.	direct_family	YES
chrR	Heavy metals	Cr(VI) reduction	Direct	High	gene_exact:chrR	ChrR-like reductase family; sequence evidence still does not prove in vivo Cr(VI) reduction.	direct_family	YES
chromate reductase	Heavy metals	Cr(VI) reduction	Direct	High	"protein_name:""chromate reductase"""	Chromate reduction candidate.	direct_family	YES
arsC	Heavy metals	Arsenate detoxification	Direct	High	gene_exact:arsC	Arsenate reductase.	direct_family	YES
arsB	Heavy metals	Arsenite resistance	Direct	High	gene_exact:arsB	Arsenite efflux.	direct_family	YES
arsA	Heavy metals	Arsenite resistance	Direct	High	gene_exact:arsA	Arsenite transporter ATPase.	direct_family	YES
merA	Heavy metals	Mercury detoxification	Direct	High	gene_exact:merA	Mercuric reductase.	direct_family	YES
merB	Heavy metals	Organomercury detoxification	Direct	High	gene_exact:merB	Organomercury lyase.	direct_family	YES
czcD	Heavy metals	Cd/Zn/Co resistance	Direct	High	gene_exact:czcD	Metal efflux.	direct_family	YES
czcA	Heavy metals	Cd/Zn/Co resistance	Direct	High	gene_exact:czcA	RND-family heavy-metal efflux component.	direct_family	YES
copA	Heavy metals	Copper resistance	Direct	High	gene_exact:copA	Copper-exporting P-type ATPase.	direct_family	YES
copB	Heavy metals	Copper resistance	Direct	High	gene_exact:copB	Copper resistance/transport.	direct_family	YES
pbrA	Heavy metals	Lead resistance	Direct	High	gene_exact:pbrA	Lead-exporting ATPase.	direct_family	YES
nccA	Heavy metals	Ni/Co/Cd resistance	Direct	High	gene_exact:nccA	Heavy-metal efflux.	direct_family	YES
catA	Aromatic compounds	Catechol ortho-cleavage	Direct	High	gene_exact:catA	Catechol 1,2-dioxygenase.	direct_family	YES
xylE	Aromatic compounds	Catechol meta-cleavage	Direct	High	gene_exact:xylE	Catechol 2,3-dioxygenase / metapyrocatechase.	direct_family	YES
hpaD	Aromatic compounds	Extradiol ring cleavage	Direct	High	gene_exact:hpaD	3,4-dihydroxyphenylacetate 2,3-dioxygenase family.	direct_family	YES
pcaG	Aromatic compounds	Protocatechuate cleavage	Direct	High	gene_exact:pcaG	Protocatechuate 3,4-dioxygenase alpha subunit.	direct_family	YES
pcaH	Aromatic compounds	Protocatechuate cleavage	Direct	High	gene_exact:pcaH	Protocatechuate 3,4-dioxygenase beta subunit.	direct_family	YES
benA	Aromatic compounds	Benzoate oxidation	Direct	High	gene_exact:benA	Benzoate 1,2-dioxygenase component.	direct_family	YES
nahAc	Hydrocarbons	PAH/naphthalene oxidation	Direct	High	gene_exact:nahAc	Naphthalene dioxygenase alpha subunit.	direct_family	YES
nahAd	Hydrocarbons	PAH/naphthalene oxidation	Direct	High	gene_exact:nahAd	Naphthalene dioxygenase beta subunit.	direct_family	YES
todC1	Hydrocarbons	Toluene oxidation	Direct	High	gene_exact:todC1	Toluene dioxygenase alpha subunit.	direct_family	YES
bphA	Hydrocarbons	Biphenyl/PCB oxidation	Direct	High	gene_exact:bphA	Biphenyl dioxygenase alpha subunit.	direct_family	YES
alkB	Hydrocarbons	Alkane oxidation	Direct	High	gene_exact:alkB	Alkane 1-monooxygenase.	direct_family	YES
ladA	Hydrocarbons	Long-chain alkane oxidation	Direct	High	gene_exact:ladA	Long-chain alkane monooxygenase.	direct_family	YES
dhaA	Halogenated compounds	Haloalkanes	Direct	High	gene_exact:dhaA	Haloalkane dehalogenase.	direct_family	YES
linA	Pesticides	Lindane/HCH	Direct	High	gene_exact:linA	Gamma-HCH dehydrochlorinase.	direct_family	YES
linB	Pesticides	Lindane/HCH	Direct	High	gene_exact:linB	Haloalkane dehalogenase in HCH degradation.	direct_family	YES
atzA	Pesticides	Atrazine	Direct	High	gene_exact:atzA	Atrazine chlorohydrolase.	direct_family	YES
atzB	Pesticides	Atrazine	Direct	High	gene_exact:atzB	Hydroxyatrazine ethylaminohydrolase.	direct_family	YES
